t_days,B,F,A
0.000000000000000000e+00,1.072965961399397067e-01,1.676365233081558437e-01,9.264984322520455201e-03
1.000000000000000000e+00,1.493403508957611703e-01,2.175201506357089531e-01,8.492399437950472196e-03
2.000000000000000000e+00,1.907063612748155501e-01,2.478358275682092382e-01,8.534355221036795183e-03
3.000000000000000000e+00,2.309262873107635616e-01,2.599843036340486191e-01,8.938414715087031684e-03
4.000000000000000000e+00,2.784049806572845842e-01,2.733015791971991626e-01,1.092971172136220949e-02
5.000000000000000000e+00,3.194248903513833837e-01,2.818151653818065649e-01,1.154022972674809827e-02
6.000000000000000000e+00,3.652466671732518266e-01,2.745851776524298460e-01,1.129047328650125206e-02
7.000000000000000000e+00,3.890982720676163797e-01,2.789838903560726280e-01,8.038066020735409878e-03
8.000000000000000000e+00,4.035397430116624551e-01,2.844649228598647994e-01,5.351135755099224386e-03
9.000000000000000000e+00,4.341384303169281700e-01,2.829214311469692711e-01,5.275268860601109097e-03
1.000000000000000000e+01,4.588878351528950517e-01,2.725976622796641435e-01,6.042521816447750903e-03
1.100000000000000000e+01,4.874953753143171364e-01,2.712997218485974638e-01,7.556352532338190577e-03
1.200000000000000000e+01,5.075048248210665136e-01,2.569763791305975653e-01,6.101004938301679559e-03
1.300000000000000000e+01,5.328837929855699818e-01,2.406988003157747302e-01,2.892983240614322316e-03
1.400000000000000000e+01,5.509661282294424645e-01,2.194705747187255251e-01,2.445342616021815244e-03
1.500000000000000000e+01,5.660452554404450387e-01,2.231507282657529678e-01,1.511157662445368477e-03
1.600000000000000000e+01,5.862373460576266737e-01,2.327206589350583610e-01,7.877035636656322393e-04
1.700000000000000000e+01,6.024033578643248621e-01,2.196540341410329333e-01,2.097976153173590334e-04
1.800000000000000000e+01,6.152929451705912989e-01,2.087795517249351196e-01,6.350186203176526019e-04
1.900000000000000000e+01,6.402953184695875377e-01,2.056304450866310030e-01,1.218931888042690303e-03
2.000000000000000000e+01,6.475759747668080601e-01,1.982641613109908940e-01,1.728760278159949043e-03
2.100000000000000000e+01,6.217992895957024091e-01,1.409757067437295563e-01,3.245222768421294774e-03
2.200000000000000000e+01,6.027851350479698223e-01,1.034378394305929677e-01,2.154064253562489387e-03
2.300000000000000000e+01,5.837342134492675694e-01,8.339499453927562422e-02,2.465388847131984133e-03
2.400000000000000000e+01,5.688144442238105558e-01,7.041168695614039019e-02,2.539416434820459655e-03
2.500000000000000000e+01,5.521983393733430612e-01,6.123947633571583116e-02,2.574957750432068163e-03
2.600000000000000000e+01,5.365007095048583974e-01,5.165029474084082556e-02,3.318859725831362420e-03
2.700000000000000000e+01,5.217128937609631922e-01,4.955118499012525074e-02,3.323375443459452259e-03
2.800000000000000000e+01,5.383713352323552526e-01,1.423405908811304632e-01,3.212685813297006844e-03
2.900000000000000000e+01,5.453547298963279388e-01,2.266557195351571463e-01,5.334271190821453061e-03
3.000000000000000000e+01,5.599177493538524120e-01,2.568784678128616106e-01,6.262401155091645161e-03
3.100000000000000000e+01,5.705535044723468729e-01,2.815142351839372559e-01,8.319774730072445473e-03
3.200000000000000000e+01,5.729045471282244728e-01,3.068592699494918086e-01,8.250155718088183002e-03
